frame,vehicle_id,vehicle_type,detected,plate_detected,plate_text,individual_toll,total_toll
1,66,Car,True,True,,0,0
2,66,Car,True,True,,0,0
3,66,Car,True,True,,0,0
4,66,Car,True,True,,0,0
5,66,Car,True,True,,0,0
6,66,Car,True,True,,0,0
7,66,Car,True,True,,0,0
8,66,Car,True,True,,0,0
9,66,Car,True,True,,0,0
10,66,Car,True,True,,0,0
11,66,Car,True,True,,0,0
12,66,Car,True,True,,0,0
13,66,Car,True,True,,0,0
14,66,Car,True,True,,0,0
15,66,Car,True,True,,0,0
16,66,Car,True,True,,0,0
17,66,Car,True,True,,0,0
18,66,Car,True,True,,0,0
19,66,Car,True,True,,0,0
20,66,Car,True,True,,0,0
21,66,Car,True,True,,0,0
22,66,Car,True,True,,0,0
23,66,Car,True,True,,0,0
24,66,Car,True,True,,0,0
25,66,Car,True,True,,0,0
26,66,Car,True,True,,0,0
27,66,Car,True,True,,0,0
28,66,Car,True,True,,0,0
29,66,Car,True,True,,0,0
30,66,Car,True,True,,0,0
31,66,Car,True,True,,0,0
32,66,Car,True,True,,0,0
33,66,Car,True,True,,0,0
34,66,Car,True,True,,0,0
35,66,Car,True,True,,0,0
36,66,Car,True,True,,0,0
37,66,Car,True,True,,0,0
38,66,Car,True,True,,0,0
39,66,Car,True,True,,0,0
40,66,Car,True,True,,0,0
41,66,Car,True,True,,0,0
42,66,Car,True,True,,0,0
43,66,Car,True,True,,0,0
44,66,Car,True,True,,0,0
45,66,Car,True,True,,0,0
46,66,Car,True,True,,0,0
47,66,Car,True,True,,500,0
48,66,Car,True,True,,500,0
49,66,Car,True,True,,500,0
50,66,Car,True,True,,500,0
51,66,Car,True,True,,500,0
52,66,Car,True,True,,500,0
53,66,Car,True,True,,500,0
54,66,Car,True,True,,500,0
55,66,Car,True,True,,500,0
56,66,Car,True,True,,500,0
57,66,Car,True,True,,500,0
58,66,Car,True,True,,500,0
59,66,Car,True,True,,500,0
60,66,Car,True,True,,500,0
61,66,Car,True,True,,500,0
62,66,Car,True,True,AGX-929,500,0
63,66,Car,True,True,AGX-929,500,0
64,66,Car,True,True,AGX-929,500,0
65,66,Car,True,True,AGX-929,500,0
66,66,Car,True,True,AGX-929,500,0
67,66,Car,True,True,AGX-929,500,0
68,66,Car,True,True,AGX-929,500,0
69,66,Car,True,True,AGX-929,500,0
70,66,Car,True,True,AGX-929,500,0
