frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
1,143,0,273,144,431,Truck,237693,True,True,21,391,56,410,TAC-152,1000,0
2,143,0,273,144,432,Truck,242196,True,True,20,391,55,410,TAC-152,1000,0
3,143,0,273,144,433,Truck,236552,True,True,18,392,55,412,TAC-152,1000,0
4,143,0,274,144,434,Truck,240593,True,True,17,393,54,413,TAC-152,1000,0
5,143,0,275,144,436,Truck,243031,True,True,16,394,53,414,TAC-152,1000,0
6,143,0,276,144,437,Truck,243587,True,True,15,394,54,415,TAC-152,1000,0
7,143,0,277,143,438,Truck,248009,True,True,15,395,52,416,TAC-152,1000,0
8,143,0,278,143,439,Truck,246203,True,True,14,396,50,416,TAC-152,1000,0
9,143,0,278,143,440,Truck,256420,True,True,13,396,50,416,TAC-152,1000,0
10,143,0,278,142,440,Truck,258757,True,True,12,397,48,417,TAC-152,1000,0
11,144,62,246,147,330,Truck,259361,True,False,0,0,0,0,TAC-152,1000,0
12,144,63,246,147,331,Truck,253387,True,False,0,0,0,0,TAC-152,1000,0
13,144,64,247,150,333,Truck,256084,True,False,0,0,0,0,TAC-152,1000,0
14,144,66,248,151,334,Truck,260270,True,False,0,0,0,0,TAC-152,1000,0
15,144,68,249,152,335,Truck,260301,True,False,0,0,0,0,TAC-152,1000,0
16,144,69,250,154,335,Truck,244867,True,False,0,0,0,0,TAC-152,1000,0
17,144,70,250,155,336,Truck,245828,True,False,0,0,0,0,TAC-152,1000,0
18,144,72,250,156,336,Truck,264992,True,False,0,0,0,0,TAC-152,1000,0
19,144,74,250,159,336,Truck,266515,True,False,0,0,0,0,TAC-152,1000,0
20,144,78,249,162,336,Truck,269616,True,False,0,0,0,0,TAC-152,1000,0
21,144,80,249,164,336,Truck,271411,True,False,0,0,0,0,TAC-152,1000,0
22,144,82,249,165,337,Truck,271015,True,False,0,0,0,0,TAC-152,1000,0
23,144,84,248,167,337,Truck,275616,True,False,0,0,0,0,TAC-152,1000,0
24,144,85,248,168,338,Truck,284443,True,False,0,0,0,0,TAC-152,1000,0
25,144,86,248,170,338,Truck,282835,True,False,0,0,0,0,TAC-152,1000,0
26,144,87,247,171,338,Truck,283729,True,False,0,0,0,0,TAC-152,1000,0
27,144,88,247,173,338,Truck,285427,True,False,0,0,0,0,TAC-152,1000,1000
