frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
1,88,400,193,446,235,Car,17476,True,False,0,0,0,0,,500,500
1,87,419,202,569,319,Car,1914,True,True,494,285,524,301,DETECTED,500,1000
2,88,401,193,446,235,Car,17496,True,False,0,0,0,0,,500,1000
2,87,421,201,570,319,Car,1899,True,True,495,285,525,302,DETECTED,500,1000
3,88,401,193,446,235,Car,17976,True,False,0,0,0,0,,500,1000
3,87,420,201,571,320,Car,1955,True,True,495,285,525,301,DETECTED,500,1000
4,88,401,190,446,230,Car,17755,True,False,0,0,0,0,,500,1000
4,87,421,199,571,317,Car,1732,True,True,495,282,526,298,DETECTED,500,1000
5,88,402,184,445,224,Car,18002,True,False,0,0,0,0,,500,1000
5,87,422,193,573,312,Car,1739,True,True,496,275,527,292,DETECTED,500,1000
6,88,403,179,446,218,Car,18142,True,False,0,0,0,0,,500,1000
6,87,423,187,575,307,Car,1741,True,True,499,271,530,287,DETECTED,500,1000
7,88,403,176,447,215,Car,18548,True,False,0,0,0,0,,500,1000
7,87,424,185,576,305,Car,1668,True,True,499,271,530,287,DETECTED,500,1000
8,88,402,176,446,215,Car,18673,True,False,0,0,0,0,,500,1000
8,87,424,184,577,305,Car,1771,True,True,498,273,530,289,DETECTED,500,1000
9,88,401,177,444,216,Car,18777,True,False,0,0,0,0,,500,1000
9,87,422,185,576,307,Car,1756,True,True,498,274,531,292,DETECTED,500,1000
10,88,400,178,444,217,Car,19236,True,False,0,0,0,0,,500,1000
10,87,422,186,576,310,Car,1740,True,True,498,278,530,296,DETECTED,500,1000
11,88,401,179,444,219,Car,19842,True,False,0,0,0,0,,500,1000
11,87,423,187,578,312,Car,1700,True,True,500,279,532,297,DETECTED,500,1000
12,88,401,181,444,220,Car,19715,True,False,0,0,0,0,,500,1000
12,87,423,187,579,313,Car,1754,True,True,501,280,534,298,DETECTED,500,1000
13,88,401,181,444,221,Car,20202,True,False,0,0,0,0,,500,1000
13,87,424,187,581,314,Car,1756,True,True,502,281,534,299,DETECTED,500,1000
14,88,401,182,444,222,Car,21513,True,False,0,0,0,0,,500,1000
14,87,423,187,583,317,Car,1785,True,True,502,283,534,301,DETECTED,500,1000
15,88,401,182,444,222,Car,22643,True,False,0,0,0,0,,500,1000
15,87,422,187,586,319,Car,1769,True,True,503,284,535,301,DETECTED,500,1000
16,88,401,182,445,223,Car,21558,True,False,0,0,0,0,,500,1000
16,87,423,188,588,320,Car,1844,True,True,504,283,537,302,DETECTED,500,1000
17,88,401,182,445,223,Car,20827,True,False,0,0,0,0,,500,1000
17,87,423,188,587,320,Car,1895,True,True,505,283,537,301,DETECTED,500,1000
18,88,401,182,445,223,Car,21084,True,False,0,0,0,0,,500,1000
18,87,423,188,587,321,Car,1831,True,True,505,284,539,302,DETECTED,500,1000
19,88,401,182,446,223,Car,21175,True,False,0,0,0,0,,500,1000
19,87,423,190,587,322,Car,1867,True,True,505,284,538,302,DETECTED,500,1000
20,88,401,182,446,223,Car,21484,True,False,0,0,0,0,,500,1000
20,87,424,192,589,323,Car,1760,True,True,506,284,539,304,DETECTED,500,1000
21,88,401,183,445,223,Car,21703,True,False,0,0,0,0,,500,1000
21,87,424,193,589,325,Car,1737,True,True,506,286,540,305,DETECTED,500,1000
22,88,400,183,445,223,Car,22270,True,False,0,0,0,0,,500,1000
22,87,424,194,592,326,Car,1808,True,True,507,286,541,305,DETECTED,500,1000
23,88,400,183,445,223,Car,22818,True,False,0,0,0,0,,500,1000
23,87,424,194,594,327,Car,1792,True,True,508,288,542,305,DETECTED,500,1000
24,88,400,184,445,224,Car,22489,True,False,0,0,0,0,,500,1000
24,87,424,194,594,328,Car,1847,True,True,508,289,542,308,DETECTED,500,1000
25,88,399,185,445,225,Car,22814,True,False,0,0,0,0,,500,1000
25,87,423,195,595,328,Car,1917,True,True,508,290,544,309,DETECTED,500,1000
26,88,399,185,445,226,Car,23495,True,False,0,0,0,0,,500,1000
26,87,424,195,597,328,Car,2012,True,True,509,290,544,309,DETECTED,500,1000
27,88,398,185,444,226,Car,24496,True,False,0,0,0,0,,500,1000
27,87,424,194,601,329,Car,2002,True,True,510,291,544,310,DETECTED,500,1000
28,88,398,185,444,226,Car,25394,True,False,0,0,0,0,,500,1000
28,87,425,194,605,329,Car,1942,True,True,509,291,544,311,DETECTED,500,1000
29,88,397,184,444,226,Car,24815,True,False,0,0,0,0,,500,1000
29,87,424,193,605,330,Car,1919,True,True,510,292,545,313,DETECTED,500,1000
30,88,397,183,444,224,Car,25471,True,False,0,0,0,0,,500,1000
30,87,423,193,607,330,Car,1863,True,True,511,291,547,311,DETECTED,500,1000
31,88,396,183,443,225,Car,25869,True,False,0,0,0,0,,500,1000
31,87,423,192,608,330,Car,1994,True,True,510,293,546,313,DETECTED,500,1000
32,88,395,183,442,226,Car,25709,True,False,0,0,0,0,,500,1000
32,87,422,192,608,330,Car,2076,True,True,510,292,547,313,DETECTED,500,1000
33,88,395,183,442,226,Car,25966,True,False,0,0,0,0,,500,1000
33,87,421,192,608,331,Car,2110,True,True,511,293,547,313,DETECTED,500,1000
34,88,395,183,442,226,Car,25979,True,False,0,0,0,0,,500,1000
34,87,421,192,609,331,Car,2082,True,True,511,293,549,314,DETECTED,500,1000
35,88,395,183,442,227,Car,26411,True,False,0,0,0,0,,500,1000
35,87,421,192,610,332,Car,2192,True,True,511,295,549,315,DETECTED,500,1000
36,88,395,184,443,228,Car,26310,True,False,0,0,0,0,,500,1000
36,87,421,193,610,334,Car,2205,True,True,512,295,549,316,DETECTED,500,1000
37,88,395,184,443,229,Car,26487,True,False,0,0,0,0,,500,1000
37,87,421,194,611,335,Car,2202,True,True,512,295,550,316,DETECTED,500,1000
38,88,394,184,442,230,Car,26452,True,False,0,0,0,0,,500,1000
38,87,420,194,609,336,Car,2179,True,True,512,297,550,318,DETECTED,500,1000
39,88,394,186,443,231,Car,26915,True,False,0,0,0,0,,500,1000
39,87,420,195,610,337,Car,2202,True,True,512,298,550,318,DETECTED,500,1000
40,88,394,186,443,232,Car,27047,True,False,0,0,0,0,,500,1000
40,87,420,195,610,338,Car,2289,True,True,512,299,549,320,DETECTED,500,1000
41,88,394,186,443,231,Car,26822,True,False,0,0,0,0,,500,1000
41,87,419,195,610,338,Car,2236,True,True,512,298,550,318,DETECTED,500,1000
42,88,393,185,442,230,Car,26616,True,False,0,0,0,0,,500,1000
42,87,419,195,610,338,Car,2185,True,True,512,297,550,317,DETECTED,500,1000
43,88,393,184,442,230,Car,26607,True,False,0,0,0,0,,500,1000
43,87,419,195,610,338,Car,2257,True,True,513,297,551,317,DETECTED,500,1000
