frame,vehicle_id,v_x1,v_y1,v_x2,v_y2,vehicle_type,bbox_area,detected,plate_detected,p_x1,p_y1,p_x2,p_y2,plate_text,individual_toll,total_toll
1,100,125,352,218,424,Car,6647,True,True,166,402,186,415,AGX-929,500,500
2,100,126,354,218,424,Car,6495,True,True,166,403,187,415,AGX-929,500,500
3,100,126,354,219,426,Car,6729,True,True,167,405,188,418,AGX-929,500,500
4,100,127,355,220,427,Car,6806,True,True,167,405,188,417,AGX-929,500,500
5,100,127,354,220,427,Car,6689,True,True,167,405,189,418,AGX-929,500,500
6,100,128,354,221,426,Car,6695,True,True,167,405,189,417,AGX-929,500,500
7,100,128,354,222,427,Car,6805,True,True,169,406,190,418,AGX-929,500,500
8,100,128,354,223,427,Car,6918,True,True,169,406,191,419,AGX-929,500,500
9,100,128,354,223,427,Car,6953,True,True,170,406,190,419,AGX-929,500,500
10,100,128,354,223,427,Car,6991,True,True,170,407,191,419,AGX-929,500,500
11,100,128,354,224,428,Car,7077,True,True,170,407,191,420,AGX-929,500,500
12,100,130,354,225,428,Car,6813,True,True,170,408,192,421,AGX-929,500,500
13,100,131,354,226,427,Car,6746,True,True,170,408,192,421,AGX-929,500,500
14,100,131,355,226,427,Car,6837,True,True,171,407,192,420,AGX-929,500,500
15,100,131,355,226,427,Car,6947,True,True,171,408,192,421,AGX-929,500,500
16,100,131,355,227,428,Car,6933,True,True,171,408,192,422,AGX-929,500,500
17,100,132,355,227,427,Car,6845,True,True,170,410,191,422,AGX-929,500,500
18,100,132,356,227,428,Car,6658,True,True,170,409,192,422,AGX-929,500,500
19,100,132,357,228,428,Car,6576,True,True,172,409,194,422,AGX-929,500,500
20,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
21,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
22,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
23,100,128,350,222,413,Car,4190,True,False,0,0,0,0,AGX-929,500,500
24,100,126,349,221,408,Car,4875,True,False,0,0,0,0,AGX-929,500,500
25,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
26,100,126,353,223,417,Car,7587,True,False,0,0,0,0,AGX-929,500,500
27,100,125,354,225,421,Car,7944,True,False,0,0,0,0,AGX-929,500,500
28,100,125,355,227,427,Car,8694,True,False,0,0,0,0,AGX-929,500,500
29,100,125,350,228,416,Car,5670,True,False,0,0,0,0,AGX-929,500,500
30,100,124,353,228,422,Car,8047,True,False,0,0,0,0,AGX-929,500,500
31,100,124,351,227,421,Car,6922,True,False,0,0,0,0,AGX-929,500,500
32,100,123,350,226,420,Car,7070,True,False,0,0,0,0,AGX-929,500,500
33,100,121,350,224,417,Car,6404,True,False,0,0,0,0,AGX-929,500,500
34,100,120,352,223,420,Car,7277,True,False,0,0,0,0,AGX-929,500,500
35,100,120,352,223,421,Car,7371,True,False,0,0,0,0,AGX-929,500,500
36,100,119,352,223,422,Car,7557,True,False,0,0,0,0,AGX-929,500,500
37,100,119,353,224,424,Car,7732,True,False,0,0,0,0,AGX-929,500,500
38,100,119,352,224,424,Car,7774,True,False,0,0,0,0,AGX-929,500,500
39,100,119,352,224,425,Car,7822,True,False,0,0,0,0,AGX-929,500,500
40,100,119,352,224,425,Car,7974,True,False,0,0,0,0,AGX-929,500,500
41,100,119,352,226,426,Car,8395,True,False,0,0,0,0,AGX-929,500,500
42,100,119,352,227,427,Car,8192,True,False,0,0,0,0,AGX-929,500,500
43,100,119,352,228,426,Car,8362,True,False,0,0,0,0,AGX-929,500,500
44,100,118,351,229,426,Car,8465,True,False,0,0,0,0,AGX-929,500,500
45,100,118,350,229,426,Car,8654,True,False,0,0,0,0,AGX-929,500,500
46,100,118,350,229,426,Car,8270,True,False,0,0,0,0,AGX-929,500,500
47,100,118,350,228,427,Car,8218,True,False,0,0,0,0,AGX-929,500,500
48,100,118,351,229,427,Car,8448,True,False,0,0,0,0,AGX-929,500,500
49,100,118,351,228,427,Car,8434,True,False,0,0,0,0,AGX-929,500,500
50,100,117,351,227,428,Car,8500,True,False,0,0,0,0,AGX-929,500,500
51,100,117,350,227,427,Car,8181,True,False,0,0,0,0,AGX-929,500,500
52,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
53,100,117,351,228,427,Car,7979,True,False,0,0,0,0,AGX-929,500,500
54,100,118,353,229,428,Car,8450,True,False,0,0,0,0,AGX-929,500,500
55,100,118,353,230,428,Car,8421,True,False,0,0,0,0,AGX-929,500,500
56,100,117,353,230,428,Car,8512,True,False,0,0,0,0,AGX-929,500,500
57,100,117,353,230,428,Car,8263,True,False,0,0,0,0,AGX-929,500,500
58,100,117,353,231,427,Car,8111,True,False,0,0,0,0,AGX-929,500,500
59,100,118,353,231,426,Car,7928,True,False,0,0,0,0,AGX-929,500,500
60,100,118,354,232,426,Car,8047,True,False,0,0,0,0,AGX-929,500,500
61,100,118,354,232,425,Car,7964,True,False,0,0,0,0,AGX-929,500,500
62,100,117,354,231,425,Car,7683,True,False,0,0,0,0,AGX-929,500,500
63,100,117,355,231,424,Car,7731,True,False,0,0,0,0,AGX-929,500,500
64,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
65,100,118,354,233,424,Car,8036,True,False,0,0,0,0,AGX-929,500,500
66,100,118,354,234,424,Car,7981,True,False,0,0,0,0,AGX-929,500,500
67,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
68,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
69,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
70,-1,0,0,0,0,None,0,False,False,0,0,0,0,AGX-929,0,500
