frame,vehicle_id,vehicle_type,detected,plate_detected,plate_text,individual_toll,total_toll
1,66,Car,True,True,DETECTED,500,500
2,66,Car,True,True,DETECTED,500,500
3,66,Car,True,True,DETECTED,500,500
4,66,Car,True,True,DETECTED,500,500
5,66,Car,True,True,DETECTED,500,500
6,66,Car,True,True,DETECTED,500,500
7,66,Car,True,True,DETECTED,500,500
8,66,Car,True,True,DETECTED,500,500
9,66,Car,True,True,DETECTED,500,500
10,66,Car,True,True,DETECTED,500,500
11,66,Car,True,True,DETECTED,500,500
12,66,Car,True,True,DETECTED,500,500
13,66,Car,True,True,DETECTED,500,500
14,66,Car,True,True,DETECTED,500,500
15,66,Car,True,True,DETECTED,500,500
16,66,Car,True,True,DETECTED,500,500
17,66,Car,True,True,DETECTED,500,500
18,66,Car,True,True,DETECTED,500,500
19,66,Car,True,True,DETECTED,500,500
20,66,Car,True,True,DETECTED,500,500
21,66,Car,True,True,DETECTED,500,500
22,66,Car,True,True,DETECTED,500,500
23,66,Car,True,True,DETECTED,500,500
24,66,Car,True,True,DETECTED,500,500
25,66,Car,True,True,DETECTED,500,500
26,66,Car,True,True,DETECTED,500,500
27,66,Car,True,True,DETECTED,500,500
28,66,Car,True,True,DETECTED,500,500
29,66,Car,True,True,DETECTED,500,500
30,66,Car,True,True,DETECTED,500,500
31,66,Car,True,True,DETECTED,500,500
32,66,Car,True,True,DETECTED,500,500
33,66,Car,True,True,DETECTED,500,500
34,66,Car,True,True,DETECTED,500,500
35,66,Car,True,True,DETECTED,500,500
36,66,Car,True,True,DETECTED,500,500
37,66,Car,True,True,DETECTED,500,500
38,66,Car,True,True,DETECTED,500,500
39,66,Car,True,True,DETECTED,500,500
40,66,Car,True,True,DETECTED,500,500
41,66,Car,True,True,DETECTED,500,500
42,66,Car,True,True,DETECTED,500,500
43,66,Car,True,True,DETECTED,500,500
44,66,Car,True,True,DETECTED,500,500
45,66,Car,True,True,DETECTED,500,500
46,66,Car,True,True,DETECTED,500,500
47,66,Car,True,True,DETECTED,500,500
48,66,Car,True,True,DETECTED,500,500
49,66,Car,True,True,DETECTED,500,500
50,66,Car,True,True,DETECTED,500,500
51,66,Car,True,True,DETECTED,500,500
52,66,Car,True,True,DETECTED,500,500
53,66,Car,True,True,DETECTED,500,500
54,66,Car,True,True,DETECTED,500,500
55,66,Car,True,True,DETECTED,500,500
56,66,Car,True,True,DETECTED,500,500
57,66,Car,True,True,DETECTED,500,500
58,66,Car,True,True,DETECTED,500,500
59,66,Car,True,True,DETECTED,500,500
